indice,ADDRESS,CONSUMER_GOOD,DATE,EVENT,LOCATION,NUMBER,ORGANIZATION,OTHER,PERSON,PHONE_NUMBER,PRICE,WORK_OF_ART
654,,0.016656627878546715,,0.016009125725499222,0.02614368746678035,0.0,0.029370947740972042,0.018327122723514385,0.025325378188146994,,,0.008020604960620403
655,,,,0.013677374459803104,0.012912523234263062,0.0,,0.022655371576547623,0.024551243986934423,,,
656,,,0.0,0.019575072452425957,0.021358230461676914,0.0,0.03684878841574703,0.03505819011479616,0.03222551429644227,,,0.014551719650626184
657,,0.006746933329850435,0.0,0.008207122658324592,0.012224719327475344,0.0,0.006281111770394174,0.00897940128798718,0.00852891088773807,,,0.0058150761760771275
658,,,,0.029244106262922287,0.016944520641118288,0.0,0.010364938527345656,0.017361959168577894,0.019065927004530317,,,0.024585988993446033
659,,0.005706620402634144,,0.009818573210698863,0.012471997094425287,0.0,0.008042384870350361,0.009582814210179176,0.012153794281874542,,,
660,,,,0.029108275659382343,0.05600732006132603,0.0,0.033801376819610596,0.04373592417687178,0.04752077236771583,,,
661,,0.057857904583215714,,0.010542189702391623,0.011073511093854904,0.0,0.0265941492592295,0.01744959047554355,0.01936414239928126,,0.0,
662,,0.007956473156809807,0.0,0.022169383744207714,0.009782715002074838,0.0,0.01024338894058019,0.010975389296866277,0.012814497202634811,,,0.00823872722685337
663,,0.016877473331987858,,0.03590585167209307,0.01074947528541088,0.0,0.013036440825089812,0.015123795892577617,0.015618851408362389,,0.0,0.035544962156564
664,,0.0212904450794061,,0.02206408418715,0.023665118962526318,0.0,0.048410282004624605,0.03310554839360217,0.03290733053452439,,,
665,,0.004766921512782575,0.0,0.019463140284642577,0.014196074800565839,0.0,0.004615172278136015,0.007353927085006779,0.011355485489946745,,,0.006419970421120524
666,,0.020523099228739742,,0.025313642496864002,0.012597608380019665,0.0,0.024232327627638977,0.0157567280180314,0.02497716147142152,,,
667,,0.013014460855629297,0.0,0.007548094727098942,0.013956145884898992,0.0,0.009207480819895864,0.008361536068453765,0.012425432326617065,,,0.013012904806860856
668,,0.012444249354302885,,0.015744774070169245,0.018658145253236096,0.0,0.017958765849471092,0.011761865046407496,0.013388660208632549,,,
669,,0.007262843051215722,0.0,0.004238987708679185,0.005452189527984176,0.0,0.004704269483530273,0.004071622516350522,0.004782885681231355,,,0.0061969393864274025
670,,0.0219500670209527,,0.030033880844712257,0.02602981962263584,0.0,,0.0389589729972861,0.06381414197385311,,,0.050805581733584404
671,,0.009765532799065113,,0.014390304176644846,0.012590935700299108,0.0,0.013990406738594174,0.009620779354510636,0.009386277249590918,,,
672,,0.02043589204549789,,0.013243573158979416,0.023250625701621175,0.0,0.010077009866522118,0.012332601259307316,0.019841875548341444,,,
673,,,0.0,0.00883188284933567,,0.0,0.013234991890688738,0.01651864754302161,0.02650610194541514,,,0.024087466299533844
674,,0.004224021919071674,0.0,0.00557758166299512,0.0056728445317434225,0.0,0.00566592945388573,0.005582726824114907,0.008991656719114293,,,
675,,0.08055362105369568,0.0,0.011845321261457034,0.0183199904859066,0.0,0.010793997440487146,0.018728025692204633,0.02853598420818647,,,
676,,0.009401425719261171,,0.019326509162783622,0.010106629692018032,0.0,0.01572598046105769,0.015486417959133783,0.01275643336120993,,,0.015289329923689365
677,,,0.0,0.03513790387660265,0.013304319232702255,0.0,0.04077228205278516,0.023110499527926247,0.020784745924174786,,,0.012354700360447168
678,,,,0.029529339633882046,0.01904638173679511,0.0,0.05682476051151753,0.025592718397577603,0.04477210249751806,,,
679,,0.014703107997775078,,0.020339767603824537,0.037282186932861804,0.0,0.017982222139835358,0.01841405942104757,0.033115394309990935,,0.0,
680,,,,0.02847384475171566,0.021065031457692382,0.0,0.012311281274176307,0.015694910567253827,0.01620171091053635,,,
681,,0.012441398575901985,,0.02250115219503641,,0.0,0.013309567794203758,0.018089291284836474,0.03262459433504513,,,
682,,,,0.04573405534029007,0.035500856737295784,0.0,0.015504002338275313,0.03009475807526282,0.03787313603485624,,,0.01574481464922428
683,,0.019376814365386963,,0.03240732165674368,0.03448046650737524,0.0,0.02004442909466369,0.0210546617085735,0.02466126797454698,,0.0,0.022684738039970398
684,,,,0.022190970368683338,0.017562116496264935,0.0,0.010526221555968126,0.014057336758603068,0.029792675748467445,,,0.011546717025339603
685,,,,0.016751204949936697,0.009630455003519143,0.0,0.010037440806627274,0.01274964477702537,0.018085272458847612,,,
686,,,,0.03180041648447514,0.019848227268084884,0.0,0.034015361592173575,0.02257589460350573,0.04174552275799215,,,0.025652286286155384
687,,0.01456227789943417,0.0,0.0122803440834913,0.01724987057968974,0.0,0.009977466380223631,0.009908969968375637,0.01012674548352758,,,0.010699881240725516
688,,0.019426513463258743,,0.0208725780248642,0.014652911573648453,0.0,0.022503064712509513,0.024890383705496788,0.023999596700856562,,,
689,,,,0.03332398055742184,0.018928833305835724,0.0,0.02473836811259389,0.033705258240493446,0.035905804174641766,,0.0,
690,,,,0.060540444776415826,0.01803930029273033,0.0,,0.0335366977378726,0.03142439783550799,,,
691,,0.018760325154289607,0.0,0.009605624619871378,0.01679360307753086,0.0,0.014607383636757731,0.017504531261511146,0.011582457294155444,,,0.009938104078173636
692,,0.007845791056752205,,0.016348909882997923,0.007208506343886255,0.0,0.016100669000297784,0.009023140364837262,0.017808436636665936,,0.0,0.006115652853623033
693,,,,0.012218819465488195,0.023554608784615995,0.0,0.017893214942887422,0.014254129608161747,0.01902803471735255,,,0.010896978278954824
694,,,,0.009692548424936831,0.014499277924187481,0.0,0.012769008417510323,0.01491535548120737,0.020396442897617818,,,0.007179331500083208
695,,0.015024319291114807,,0.022288936935365204,0.028509166195160814,0.0,0.014367565512657166,0.018064634615762368,0.021552128717303276,,,
696,,0.02121659554541111,0.0,0.007521519670262933,0.01012546825222671,0.0,0.00882159813772887,0.01716550344672914,0.014601806563365719,,,
698,,0.016276486217975616,,0.013878441415727139,0.025971801951527596,0.0,0.025331005919724703,0.016884211637079715,0.019630995722344287,,,
699,,,0.0,0.021924526261335068,0.02355852189727805,0.0,0.028531937394291162,0.012076920430575098,0.01054225342037777,,,
700,,,,0.010485568394263586,0.029909750912338495,0.0,0.024011149898999266,0.012825354276334537,0.018515905146213138,,,
701,,0.015350471250712872,,0.015026967972517014,0.02164610226949056,0.0,0.0257186284288764,0.03134731431915001,0.030481867492198944,,,0.016466838618119557
702,,0.020336203277111053,,0.021472346037626266,0.03306455537676811,0.0,0.017085053957998753,0.023750955937430263,0.02584211512779196,,,
703,,0.012478756485506892,0.0,0.011003197985701265,0.020391674091418583,0.0,0.009862492326647045,0.015470105477354744,0.01705399716073381,,,0.007473075296729803
704,,0.01931060788532098,0.0,0.009128748439252377,0.008732829863826433,0.0,0.011742503692706427,0.00947142584870259,0.016181391180278018,,,0.008780241012573242
705,,0.025851132348179817,,0.061514878645539284,,0.0,0.016903704032301903,0.04434936447069049,0.03136922108630339,,,0.03793589770793915
706,,0.0027785528606424728,0.0,0.00534748030671229,0.0036492314603593615,0.0,0.008977218763902783,0.005261609763553977,0.004428545462100634,,,0.002080234931781888
707,,0.012519468553364277,0.0,0.016607842008982385,0.012833939266524144,0.0,0.010509598418138921,0.011567341123262177,0.013660344187743388,,,0.008706039749085903
708,,0.03136891188720862,,0.018340333830565214,0.017893875017762184,0.0,0.015402887016534804,0.02417120072417534,0.03426777395523257,,,0.023963138461112976
709,,0.008516284637153149,,0.011683532455936074,0.01754598195354144,0.0,0.021091046510264277,0.011810649249872024,0.013900734065100551,,,0.007001296151429415
710,,0.007113480142184667,0.0,0.012616662929455439,0.015279855579137802,0.0,0.022113719023764133,0.008255117899797697,0.011708701107030114,,,0.016363142989575863
711,,,,0.008151820162311196,0.012293203384615481,0.0,0.019137969240546227,0.021805537715554237,0.022350544376032695,,,0.03820154070854187
712,,,,0.028250046850492556,0.02448915410786867,0.0,0.035299297887831926,0.01615832806290949,0.016207658918574452,,,
713,,,,0.018816923323486532,0.016609711417307455,0.0,0.011730642523616552,0.03143673613667488,0.02096205602654002,,,0.03118317745005091
714,,0.013915668507771832,,0.01653203236249586,0.00994562909805349,0.0,0.012106581940315664,0.012210963643155992,0.012699953746050596,,,
715,,,,0.021680036559700966,0.032816595087448754,0.0,0.01271675294265151,0.01675098730872075,0.011502917817172905,,,0.011121078394353391
716,,,,0.015638398239389062,0.024925264995545152,0.0,0.00952363247051835,0.02005801966879517,0.021776850542260542,,,
717,,,,0.013526222367277917,0.012012355495244265,0.0,0.00980121416172811,0.009592423780954309,0.00916986980009824,,,
